time,block_number,transaction_index,value,gas,gas_price,max_fee_per_gas,max_priority_fee_per_gas,count
2021-08-14 00:46:00.000,13020171.0,17.5,0.0,124379.77777777778,58471162838.52778,103526732153.84616,3201411069.230769,36
2021-08-14 00:46:10.000,13020172.0,170.0,23.41919191919192,234188.52785923754,59950512630.454544,93254717369.863,12722060405.479452,341
2021-08-14 00:46:35.000,13020173.0,113.5,0.0,152453.44298245615,64883030583.9386,93188522701.75438,7351461403.508772,228
2021-08-14 00:46:59.000,13020174.0,10.0,0.0,185001.52380952382,68510055118.38095,92140732500.0,6250000000.0,21
2021-08-14 00:47:01.000,13020175.0,96.5,0.0,233377.63917525773,53930307134.45876,,,194
2021-08-14 00:47:08.000,13020176.0,176.5,0.0,133617.43220338982,63118439399.50282,95941872089.38547,10412937790.167597,354
2021-08-14 00:47:32.000,13020177.0,195.0,0.0,188231.77749360615,71689045207.92583,109578089806.72269,7073649542.857142,391
2021-08-14 00:48:50.000,13020178.0,66.5,0.0,178206.5671641791,66999666921.80597,82013482675.32468,5190342351.168831,134
2021-08-14 00:49:04.000,13020179.0,34.5,494.8421052631579,174257.57142857142,69916795044.01428,81856263800.0,8634078113.333334,70
2021-08-14 00:49:17.000,13020180.0,96.5,0.0,196531.22680412373,60354169190.85052,92712300689.65517,23597952677.931034,194
2021-08-14 00:49:21.000,13020181.0,13.0,0.0,137636.07407407407,82876564371.7037,123333331666.66667,5000000000.0,27
2021-08-14 00:49:27.000,13020182.0,125.0,0.0,185285.86055776893,55091182640.56175,90543457380.95238,41339258666.666664,251
2021-08-14 00:49:29.000,13020183.0,75.5,173602.44,172556.75,67072767255.67105,97439212953.48837,14986206747.906977,152
2021-08-14 00:49:48.000,13020184.0,30.0,0.0,195369.868852459,64605833267.65574,,,61
2021-08-14 00:49:54.000,13020185.0,174.0,0.0,191069.7392550143,58753901426.45272,82732403633.33333,14684303106.333334,349
2021-08-14 00:50:02.000,13020186.0,94.0,0.0,171521.52380952382,70423919163.1746,95596880796.2963,11780876533.333334,189
2021-08-14 00:50:29.000,13020187.0,149.0,0.0,184826.16722408027,68609363457.518394,90269478355.9322,14215805574.576271,299
2021-08-14 00:50:58.000,13020188.0,8.0,0.0,143486.29411764705,89949828427.64706,137941985888.8889,15576820666.666666,17
